id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Quiet Constellations,Avery Hall,classical,peaceful,0.18,64,0.52,0.20,0.96
12,Corner Office Cypher,North Block,hip-hop,confident,0.78,96,0.74,0.86,0.08
13,Iron Horizon,Gravel Crown,metal,aggressive,0.97,174,0.31,0.48,0.03
14,Porchlight Letters,Willow County,folk,warm,0.43,88,0.76,0.51,0.91
15,Electric Sky,Phase Garden,electronic,euphoric,0.89,128,0.90,0.92,0.06
16,Empty Station Blues,Caleb Stone,blues,melancholy,0.33,68,0.24,0.45,0.82
17,Island Afternoon,Harbor Roots,reggae,carefree,0.61,84,0.88,0.80,0.55
18,Moonlit Avenida,Luna Roja,latin,romantic,0.70,104,0.79,0.87,0.40
